date,strategy,ticker,weight,predicted_return_21d,actual_future_return_21d,strategy_note
2025-10-31,spo_plus_turnover_l2,QQQ,3.3306690738754667e-16,-1.6435796022415161,-0.01123899221420288,PyEPO SPO+ loss with turnover and L2 weight regularization
2025-10-31,spo_plus_turnover_l2,TLT,0.9999999999999991,2.2708821296691895,-0.009313123300671577,PyEPO SPO+ loss with turnover and L2 weight regularization
2025-10-31,spo_plus_turnover_l2,GLD,0.0,0.6369657516479492,0.051939573138952255,PyEPO SPO+ loss with turnover and L2 weight regularization
2025-10-31,spo_plus_turnover_l2,VNQ,0.0,-1.362389087677002,0.008858546614646912,PyEPO SPO+ loss with turnover and L2 weight regularization
2025-10-31,spo_plus_turnover_l2,DBC,5.472143867616981e-16,0.4407862722873688,0.006118933670222759,PyEPO SPO+ loss with turnover and L2 weight regularization
2025-10-31,equal_weight_6etf,SPY,0.16666666666666666,,-0.0007770256488583982,benchmark
2025-10-31,equal_weight_6etf,QQQ,0.16666666666666666,,-0.01123899221420288,benchmark
2025-10-31,equal_weight_6etf,TLT,0.16666666666666666,,-0.009313123300671577,benchmark
2025-10-31,equal_weight_6etf,GLD,0.16666666666666666,,0.051939573138952255,benchmark
2025-10-31,equal_weight_6etf,VNQ,0.16666666666666666,,0.008858546614646912,benchmark
2025-10-31,equal_weight_6etf,DBC,0.16666666666666666,,0.006118933670222759,benchmark
2025-10-31,spy_buy_hold,SPY,1.0,,-0.0007770256488583982,benchmark
2025-10-31,spy_buy_hold,QQQ,0.0,,-0.01123899221420288,benchmark
2025-10-31,spy_buy_hold,TLT,0.0,,-0.009313123300671577,benchmark
2025-10-31,spy_buy_hold,GLD,0.0,,0.051939573138952255,benchmark
2025-10-31,spy_buy_hold,VNQ,0.0,,0.008858546614646912,benchmark
2025-10-31,spy_buy_hold,DBC,0.0,,0.006118933670222759,benchmark
2025-11-28,pto_markowitz,SPY,0.0,-0.008215242065489292,0.008267742581665516,PtO Ridge prediction with Markowitz max-Sharpe optimization
