date,ticker,future_return_21d,future_rank_21d,label_outperform_median_21d,label_top2_21d,label_positive_21d
2020-06-11,SPY,0.05194576718028254,2,1,1,1
2020-06-11,TLT,0.019499783686012684,5,0,0,1
2020-06-11,VNQ,0.0014690514624373652,6,0,0,1
2020-06-12,DBC,0.04829305436743292,3,1,0,1
2020-06-12,GLD,0.04655028625947044,4,0,0,1
2020-06-12,QQQ,0.10574347064042944,1,1,1,1
2020-06-12,SPY,0.05296856892823021,2,1,1,1
2020-06-12,TLT,0.03090509296101529,5,0,0,1
2020-06-12,VNQ,-0.025043244318761593,6,0,0,0
2020-06-15,DBC,0.051155058359020567,3,1,0,1
2020-06-15,GLD,0.04934389463737188,4,0,0,1
2020-06-15,QQQ,0.0946750621278376,1,1,1,1
2020-06-15,SPY,0.05281315447184354,2,1,1,1
2020-06-15,TLT,0.02552515506259523,5,0,0,1
2020-06-15,VNQ,-0.02924891296167209,6,0,0,0
2020-06-16,DBC,0.034369935636250126,4,0,0,1
2020-06-16,GLD,0.039938340385448745,3,1,0,1
2020-06-16,QQQ,0.06885141060772848,1,1,1,1
2020-06-16,SPY,0.02953021501159392,5,0,0,1
2020-06-16,TLT,0.04644076073027237,2,1,1,1
2020-06-16,VNQ,-0.059378657317444405,6,0,0,0
2020-06-17,DBC,0.041118432022629436,3,1,0,1
2020-06-17,GLD,0.04650589119176618,2,1,1,1
2020-06-17,QQQ,0.06670680653534489,1,1,1,1
2020-06-17,SPY,0.03682114453428631,5,0,0,1
2020-06-17,TLT,0.03995704755450946,4,0,0,1
2020-06-17,VNQ,-0.033114411619169726,6,0,0,0
2020-06-18,DBC,0.03434165361036379,4,0,0,1
2020-06-18,GLD,0.05362423972926189,2,1,1,1
2020-06-18,QQQ,0.09400641826446843,1,1,1,1
2020-06-18,SPY,0.04479825950420113,3,1,0,1
2020-06-18,TLT,0.03159162971526275,5,0,0,1
2020-06-18,VNQ,-0.034087288512725133,6,0,0,0
2020-06-19,DBC,0.040551418653428595,4,0,0,1
2020-06-19,GLD,0.054685126424784736,2,1,1,1
2020-06-19,QQQ,0.08278357668563463,1,1,1,1
2020-06-19,SPY,0.0530393386018122,3,1,0,1
2020-06-19,TLT,0.03138210386032214,5,0,0,1
2020-06-19,VNQ,-0.017460633228463918,6,0,0,0
2020-06-22,DBC,0.036115604979902516,4,0,0,1
2020-06-22,GLD,0.06384401707387277,2,1,1,1
2020-06-22,QQQ,0.07372126918309574,1,1,1,1
2020-06-22,SPY,0.05228262561722019,3,1,0,1
2020-06-22,TLT,0.03433784688181851,5,0,0,1
2020-06-22,VNQ,-0.0014580672179667076,6,0,0,0
2020-06-23,DBC,0.038709876433544066,3,1,0,1
2020-06-23,GLD,0.06427196794114409,1,1,1,1
2020-06-23,QQQ,0.03685097849788632,4,0,0,1
2020-06-23,SPY,0.034962351341368825,5,0,0,1
2020-06-23,TLT,0.05362016985851792,2,1,1,1
2020-06-23,VNQ,-0.0015048929353533858,6,0,0,0
2020-06-24,DBC,0.06699754672882374,2,1,1,1
2020-06-24,GLD,0.0771549338316706,1,1,1,1
